<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,5,20170131,220500,120.68,120.71,120.65,120.705,42768
US2.AAPL,5,20170131,221000,120.7,120.71,120.63,120.7,87327
US2.AAPL,5,20170131,221500,120.69,120.74,120.64,120.74,62297
US2.AAPL,5,20170131,222000,120.75,120.8,120.71,120.745,29881
US2.AAPL,5,20170131,222500,120.77,120.82,120.77,120.79,65528
US2.AAPL,5,20170131,223000,120.8,120.81,120.73,120.79,55114
US2.AAPL,5,20170131,223500,120.79,120.82,120.73,120.82,53251
US2.AAPL,5,20170131,224000,120.825,120.92,120.82,120.91,73468
US2.AAPL,5,20170131,224500,120.91,120.95,120.86,120.95,51788
US2.AAPL,5,20170131,225000,120.94,120.95,120.91,120.95,75609
US2.AAPL,5,20170131,225500,120.96,121.05,120.96,121.01,45350
US2.AAPL,5,20170131,230000,121.015,121.085,120.995,121.065,27956
US2.AAPL,5,20170131,230500,121.07,121.14,121.04,121.06,35923
US2.AAPL,5,20170131,231000,121.05,121.07,121.03,121.04,22527
US2.AAPL,5,20170131,231500,121.05,121.25,121.045,121.245,75450
US2.AAPL,5,20170131,232000,121.25,121.25,121.2,121.22,30930
US2.AAPL,5,20170131,232500,121.22,121.26,121.18,121.23,49302
US2.AAPL,5,20170131,233000,121.24,121.26,121.175,121.18,35775
US2.AAPL,5,20170131,233500,121.17,121.24,121.17,121.24,44949
US2.AAPL,5,20170131,234000,121.235,121.27,121.2,121.24,46529
US2.AAPL,5,20170131,234500,121.24,121.27,121.18,121.18,41945
US2.AAPL,5,20170131,235000,121.19,121.25,121.17,121.17,52319
US2.AAPL,5,20170131,235500,121.18,121.33,121.18,121.265,174043
US2.AAPL,5,20170201,0,121.26,121.32,121.21,121.3,152284
US2.AAPL,5,20170201,173500,127.04,128,127.04,127.3,722286
US2.AAPL,5,20170201,174000,127.29,127.81,127.16,127.41,550631
US2.AAPL,5,20170201,174500,127.4,127.55,127.22,127.29,311312
US2.AAPL,5,20170201,175000,127.3,127.67,127.25,127.53,371591
US2.AAPL,5,20170201,175500,127.52,127.91,127.52,127.78,334105
US2.AAPL,5,20170201,180000,127.78,128.29,127.75,128.12,270671
US2.AAPL,5,20170201,180500,128.13,128.3,127.8,127.99,203698
US2.AAPL,5,20170201,181000,128,128.01,127.78,127.81,180207
US2.AAPL,5,20170201,181500,127.81,127.84,127.68,127.76,150375
US2.AAPL,5,20170201,182000,127.77,127.92,127.77,127.88,144547
US2.AAPL,5,20170201,182500,127.88,127.97,127.855,127.92,142546
US2.AAPL,5,20170201,183000,127.91,128.09,127.9,128.08,160669
US2.AAPL,5,20170201,183500,128.08,128.3,128.07,128.25,132873
US2.AAPL,5,20170201,184000,128.24,128.24,128,128.06,106318
US2.AAPL,5,20170201,184500,128.06,128.265,128.02,128.255,135886
US2.AAPL,5,20170201,185000,128.255,128.34,128.16,128.28,104121
US2.AAPL,5,20170201,185500,128.28,128.43,128.13,128.42,158462
US2.AAPL,5,20170201,190000,128.43,128.45,128.16,128.17,116358
US2.AAPL,5,20170201,190500,128.17,128.37,128.17,128.37,163629
US2.AAPL,5,20170201,191000,128.37,128.38,128.28,128.37,80339
US2.AAPL,5,20170201,191500,128.37,128.475,128.05,128.16,140546
US2.AAPL,5,20170201,192000,128.17,128.19,128.09,128.16,113027
US2.AAPL,5,20170201,192500,128.155,128.16,128,128.065,76476
US2.AAPL,5,20170201,193000,128.065,128.065,127.85,128.05,123031
US2.AAPL,5,20170201,193500,128.05,128.24,128.045,128.22,97883
US2.AAPL,5,20170201,194000,128.22,128.245,128.13,128.17,47456
US2.AAPL,5,20170201,194500,128.16,128.22,128.14,128.2,49132
US2.AAPL,5,20170201,195000,128.195,128.22,128.12,128.17,93060
US2.AAPL,5,20170201,195500,128.19,128.245,128.09,128.18,72320
US2.AAPL,5,20170201,200000,128.18,128.32,128.1,128.32,73406
US2.AAPL,5,20170201,200500,128.33,128.5,128.32,128.5,83632
US2.AAPL,5,20170201,201000,128.5,128.565,128.48,128.56,95439
US2.AAPL,5,20170201,201500,128.55,128.62,128.54,128.61,51192
US2.AAPL,5,20170201,202000,128.62,128.74,128.61,128.61,57435
US2.AAPL,5,20170201,202500,128.63,128.74,128.555,128.74,36970
US2.AAPL,5,20170201,203000,128.745,128.82,128.66,128.795,38883
US2.AAPL,5,20170201,203500,128.8,129.04,128.8,129,142391
US2.AAPL,5,20170201,204000,129.005,129.16,128.995,129.16,40859
US2.AAPL,5,20170201,204500,129.16,129.5,129.15,129.35,140253
US2.AAPL,5,20170201,205000,129.34,129.4,129.21,129.215,69629
US2.AAPL,5,20170201,205500,129.215,129.34,129.19,129.22,90624
US2.AAPL,5,20170201,210000,129.235,129.27,129.165,129.21,53868
US2.AAPL,5,20170201,210500,129.215,129.22,129.08,129.14,51265
US2.AAPL,5,20170201,211000,129.145,129.4,129.145,129.34,80687
US2.AAPL,5,20170201,211500,129.31,129.41,129.27,129.35,28573
US2.AAPL,5,20170201,212000,129.34,129.395,129.205,129.37,44822
US2.AAPL,5,20170201,212500,129.37,129.42,129.26,129.3,31510
US2.AAPL,5,20170201,213000,129.29,129.31,129.22,129.28,42552
US2.AAPL,5,20170201,213500,129.26,129.31,129.14,129.22,52342
US2.AAPL,5,20170201,214000,129.23,129.325,129.15,129.285,60403
US2.AAPL,5,20170201,214500,129.3,129.3,129.16,129.25,61693
US2.AAPL,5,20170201,215000,129.25,129.305,129.16,129.16,33704
US2.AAPL,5,20170201,215500,129.15,129.28,129.11,129.16,42099
US2.AAPL,5,20170201,220000,129.155,129.17,128.945,129.04,43608
